retailer,invoice_date,region,state,city,product,price_per_unit,units_sold,revenue,profit,sales_method,profit_margin
West Gear,2021-03-19,South,Oklahoma,Oklahoma City,Women's Apparel,25,275,6875,2750,Online,40.0
West Gear,2021-09-19,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,275,4125,1650,Online,40.0
Foot Locker,2021-11-13,Midwest,Kansas,Wichita,Men's Athletic Footwear,15,275,4125,1444,Online,35.01
Foot Locker,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,20,425,8500,2975,In-store,35.0
West Gear,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,6375,2231,In-store,35.0
Foot Locker,2021-01-12,Midwest,Kansas,Wichita,Women's Street Footwear,30,275,8250,2475,Online,30.0
Sports Direct,2021-01-09,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25,275,6875,2063,Online,30.01
Sports Direct,2021-02-09,Midwest,North Dakota,Fargo,Women's Apparel,25,275,6875,2750,Online,40.0
West Gear,2021-06-11,West,Utah,Salt Lake City,Women's Street Footwear,20,425,8500,2975,In-store,35.0
Foot Locker,2021-06-06,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,8250,2888,In-store,35.01
Amazon,2021-04-10,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,8500,3400,Online,40.0
Foot Locker,2021-03-16,South,Mississippi,Jackson,Women's Street Footwear,15,425,6375,2550,Online,40.0
Foot Locker,2021-09-07,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,8250,2888,In-store,35.01
West Gear,2021-03-09,Midwest,Indiana,Indianapolis,Women's Street Footwear,15,275,4125,1444,In-store,35.01
Walmart,2021-09-16,South,Mississippi,Jackson,Women's Street Footwear,20,425,8500,3400,Online,40.0
Walmart,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,20,425,8500,3400,Online,40.0
Walmart,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,20,425,8500,2975,Online,35.0
West Gear,2021-03-09,Midwest,Indiana,Indianapolis,Women's Apparel,25,275,6875,2750,In-store,40.0
West Gear,2021-09-11,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,30,275,8250,3300,In-store,40.0
Walmart,2020-05-03,Northeast,New York,New York,Men's Street Footwear,48,420,20160,1129,Outlet,5.6
West Gear,2021-03-16,Northeast,West Virginia,Charleston,Men's Athletic Footwear,30,275,8250,3300,In-store,40.0
Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,39,408,15912,875,Outlet,5.5
Foot Locker,2021-02-15,Northeast,Maryland,Baltimore,Women's Street Footwear,30,275,8250,3300,In-store,40.0
Walmart,2020-04-27,Northeast,New York,New York,Men's Street Footwear,46,403,18538,1038,Outlet,5.6
Foot Locker,2021-03-13,Northeast,Delaware,Wilmington,Women's Street Footwear,30,275,8250,3300,In-store,40.0
West Gear,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,2800,In-store,35.0
West Gear,2021-06-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,3200,In-store,40.0
Kohl's,2021-01-10,Northeast,Delaware,Wilmington,Women's Street Footwear,25,275,6875,2750,In-store,40.0
West Gear,2021-10-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store,35.0
Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,53,273,14469,622,Online,4.3
West Gear,2021-01-06,West,California,San Francisco,Men's Street Footwear,56,273,15288,764,Online,5.0
West Gear,2021-11-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store,35.0
West Gear,2021-01-18,West,California,San Francisco,Men's Street Footwear,62,273,16926,779,Online,4.6
West Gear,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,58,273,15834,428,Online,2.7
Kohl's,2021-05-25,West,California,Los Angeles,Men's Street Footwear,39,315,12285,565,Outlet,4.6
Sports Direct,2021-09-24,South,Texas,Dallas,Women's Street Footwear,46,273,12558,691,Online,5.5
Foot Locker,2020-08-06,West,Washington,Seattle,Men's Street Footwear,44,273,12012,661,Online,5.5
Foot Locker,2021-06-07,Southeast,South Carolina,Charleston,Men's Street Footwear,51,273,13923,780,Online,5.6
Walmart,2020-08-11,South,Texas,Houston,Women's Apparel,27,272,7344,404,Outlet,5.5
Walmart,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,3200,Online,40.0
Walmart,2020-09-11,South,Texas,Houston,Men's Street Footwear,31,272,8432,329,Outlet,3.9
West Gear,2020-11-13,West,California,San Francisco,Men's Street Footwear,36,272,9792,382,Outlet,3.9
Foot Locker,2020-01-27,Northeast,New York,New York,Women's Street Footwear,27,314,8478,348,Outlet,4.1
Sports Direct,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,15,400,6000,2400,Online,40.0
Foot Locker,2020-03-04,Northeast,New York,New York,Men's Street Footwear,47,400,18800,978,Outlet,5.2
Foot Locker,2020-03-18,Northeast,New York,New York,Women's Street Footwear,37,314,11618,430,Outlet,3.7
Foot Locker,2020-01-25,Northeast,New York,New York,Men's Street Footwear,40,390,15600,811,Outlet,5.2
Sports Direct,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,39,314,12246,576,Outlet,4.7
Kohl's,2021-04-26,West,California,Los Angeles,Men's Athletic Footwear,37,272,10064,292,Outlet,2.9
Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,33,388,12804,666,Outlet,5.2
Kohl's,2021-05-19,West,California,Los Angeles,Men's Street Footwear,40,272,10880,500,Outlet,4.6
Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34,384,13056,679,Outlet,5.2
Sports Direct,2021-09-21,South,Texas,Dallas,Women's Apparel,47,272,12784,729,Outlet,5.7
Sports Direct,2021-04-15,South,Tennessee,Knoxville,Men's Street Footwear,29,272,7888,394,Outlet,4.99
Foot Locker,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,11656,559,Outlet,4.8
Sports Direct,2021-04-20,South,Tennessee,Knoxville,Women's Apparel,38,272,10336,641,Outlet,6.2
Foot Locker,2020-01-07,Northeast,New York,New York,Men's Street Footwear,46,313,14398,893,Online,6.2
Walmart,2021-06-17,Southeast,Florida,Orlando,Men's Street Footwear,50,272,13600,435,Outlet,3.2
Sports Direct,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,7500,4125,Outlet,55.0
Foot Locker,2020-03-04,Northeast,New York,New York,Men's Street Footwear,55,313,17215,1050,Online,6.1
Foot Locker,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,7500,2625,In-store,35.0
Walmart,2020-05-03,Northeast,New York,New York,Men's Street Footwear,62,312,19344,1238,Online,6.4
West Gear,2021-08-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store,40.0
Walmart,2021-08-17,Southeast,Florida,Orlando,Men's Athletic Footwear,60,272,16320,441,Outlet,2.7
Foot Locker,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,38,312,11856,700,Online,5.9
West Gear,2021-11-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store,40.0
West Gear,2021-01-12,Southeast,Florida,Orlando,Men's Street Footwear,30,272,8160,416,Outlet,5.1
Foot Locker,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,15,375,5625,2250,Online,40.0
Foot Locker,2021-07-23,Southeast,Virginia,Richmond,Men's Street Footwear,60,272,16320,604,Outlet,3.7
Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,40,312,12480,449,Outlet,3.6
Foot Locker,2021-08-24,Southeast,Virginia,Richmond,Men's Street Footwear,67,272,18224,729,Outlet,4.0
Foot Locker,2021-07-05,Southeast,South Carolina,Charleston,Men's Street Footwear,63,311,19593,1156,Online,5.9
West Gear,2021-12-16,South,Louisiana,New Orleans,Men's Street Footwear,46,272,12512,576,Outlet,4.6
West Gear,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,15,375,5625,1969,Online,35.0
West Gear,2020-11-03,South,Texas,Houston,Women's Street Footwear,33,271,8943,376,Outlet,4.2
West Gear,2021-01-23,South,Arkansas,Little Rock,Women's Street Footwear,15,375,5625,2250,Online,40.0
Foot Locker,2020-03-16,Northeast,New York,New York,Men's Street Footwear,41,375,15375,800,Outlet,5.2
Walmart,2020-08-26,South,Texas,Houston,Women's Street Footwear,29,374,10846,445,Outlet,4.1
West Gear,2020-12-25,West,California,San Francisco,Men's Street Footwear,40,271,10840,412,Outlet,3.8
Walmart,2020-09-01,South,Texas,Houston,Women's Street Footwear,29,374,10846,445,Outlet,4.1
West Gear,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,40,271,10840,325,Outlet,3.0
Foot Locker,2020-01-31,Northeast,New York,New York,Men's Street Footwear,33,372,12276,663,Outlet,5.4
Sports Direct,2021-04-08,South,Tennessee,Knoxville,Women's Apparel,31,271,8401,496,Outlet,5.9
Sports Direct,2021-04-22,South,Tennessee,Knoxville,Men's Athletic Footwear,44,271,11924,608,Outlet,5.1
West Gear,2021-07-06,West,Idaho,Boise,Men's Athletic Footwear,40,271,10840,466,Outlet,4.3
Foot Locker,2020-02-06,Northeast,New York,New York,Men's Street Footwear,44,366,16104,837,Outlet,5.2
Walmart,2020-04-19,Northeast,New York,New York,Men's Street Footwear,56,360,20160,1250,Online,6.2
Foot Locker,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,37,359,13283,452,Outlet,3.4
Walmart,2020-04-18,Northeast,New York,New York,Women's Apparel,48,355,17040,511,Outlet,3.0
Foot Locker,2020-01-25,Northeast,New York,New York,Men's Street Footwear,46,354,16284,1026,Online,6.3
Foot Locker,2020-03-15,Northeast,New York,New York,Women's Apparel,47,352,16544,447,Outlet,2.7
Foot Locker,2021-03-17,Midwest,Missouri,St. Louis,Women's Street Footwear,25,350,8750,3063,In-store,35.01
Foot Locker,2021-06-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,350,8750,3500,In-store,40.0
Foot Locker,2021-10-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store,35.01
Foot Locker,2021-11-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25,350,8750,3063,In-store,35.01
West Gear,2021-05-12,West,Utah,Salt Lake City,Women's Street Footwear,25,350,8750,3063,In-store,35.01
West Gear,2021-09-12,West,Utah,Salt Lake City,Women's Street Footwear,10,350,3500,1225,In-store,35.0
Amazon,2021-04-10,Midwest,Ohio,Columbus,Women's Athletic Footwear,25,350,8750,3500,Online,40.0
Walmart,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,25,350,8750,3500,Online,40.0
Sports Direct,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,8750,3063,Online,35.01
Walmart,2021-03-19,South,Arkansas,Little Rock,Women's Street Footwear,10,350,3500,1400,Online,40.0
Walmart,2021-03-19,South,Arkansas,Little Rock,Women's Apparel,25,350,8750,3500,Online,40.0
Walmart,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,15,350,5250,2100,Online,40.0
West Gear,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,7000,2800,Online,40.0
Walmart,2021-07-19,South,Arkansas,Little Rock,Men's Street Footwear,39,271,10569,444,Outlet,4.2
West Gear,2021-10-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20,350,7000,2450,Online,35.0
Kohl's,2021-01-16,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25,350,8750,3063,Online,35.01
Foot Locker,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,54,270,14580,598,Online,4.1
Kohl's,2021-01-16,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,350,5250,1838,Online,35.01
Walmart,2020-04-17,Northeast,New York,New York,Men's Apparel,54,270,14580,656,Online,4.5
Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,50,270,13500,594,Online,4.4
Walmart,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,43,310,13330,467,Outlet,3.5
Kohl's,2021-04-19,West,California,Los Angeles,Men's Street Footwear,44,270,11880,653,Online,5.5
Foot Locker,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,53,308,16324,669,Online,4.1
Sports Direct,2020-09-29,Southeast,Florida,Miami,Men's Street Footwear,56,270,15120,907,Online,6.0
Sports Direct,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,61,308,18788,996,Online,5.3
Foot Locker,2020-01-05,Northeast,New York,New York,Men's Apparel,43,306,13158,487,Outlet,3.7
West Gear,2021-07-16,South,Louisiana,New Orleans,Men's Street Footwear,86,270,23220,1231,Online,5.3
Foot Locker,2020-01-23,Northeast,New York,New York,Men's Apparel,43,306,13158,461,Outlet,3.5
Foot Locker,2021-07-05,Southeast,South Carolina,Charleston,Men's Athletic Footwear,58,270,15660,767,Online,4.9
Walmart,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,34,306,10404,406,Outlet,3.9
Foot Locker,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,35,270,9450,350,Outlet,3.7
Walmart,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,41,306,12546,502,Outlet,4.0
Walmart,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,41,270,11070,410,Outlet,3.7
Sports Direct,2020-07-31,South,Texas,Houston,Men's Street Footwear,20,306,6120,257,Outlet,4.2
Sports Direct,2020-07-19,Northeast,New York,New York,Men's Street Footwear,20,270,5400,211,Outlet,3.91
Sports Direct,2020-08-06,South,Texas,Houston,Men's Street Footwear,23,306,7038,260,Outlet,3.69
Sports Direct,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,26,270,7020,260,Outlet,3.7
Sports Direct,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,29,306,8874,364,Outlet,4.1
Walmart,2020-09-04,South,Texas,Houston,Women's Apparel,39,270,10530,569,Outlet,5.4
Walmart,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,31,306,9486,379,Outlet,4.0
Walmart,2020-10-20,South,Texas,Houston,Men's Street Footwear,34,270,9180,349,Outlet,3.8
Walmart,2020-10-31,South,Texas,Houston,Women's Apparel,41,306,12546,690,Outlet,5.5
West Gear,2020-12-31,West,California,San Francisco,Men's Street Footwear,44,270,11880,523,Outlet,4.4
West Gear,2021-01-11,West,California,San Francisco,Women's Apparel,60,306,18360,477,Outlet,2.6
Walmart,2020-04-21,Northeast,New York,New York,Women's Street Footwear,47,268,12596,592,Online,4.7
West Gear,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,46,306,14076,282,Outlet,2.0
Walmart,2020-08-12,South,Texas,Houston,Men's Street Footwear,29,268,7772,373,Online,4.8
Walmart,2020-08-30,South,Texas,Houston,Men's Street Footwear,37,268,9916,486,Online,4.9
Kohl's,2021-05-01,West,California,Los Angeles,Men's Street Footwear,36,306,11016,496,Outlet,4.5
West Gear,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,56,268,15008,420,Online,2.8
Sports Direct,2021-04-14,South,Tennessee,Knoxville,Women's Apparel,37,306,11322,668,Outlet,5.9
Kohl's,2021-01-16,South,Oklahoma,Oklahoma City,Women's Apparel,25,350,8750,3063,Online,35.01
Foot Locker,2020-08-18,Southeast,Florida,Miami,Men's Street Footwear,41,268,10988,659,Online,6.0
West Gear,2021-02-17,Northeast,West Virginia,Charleston,Women's Apparel,25,350,8750,3500,In-store,40.0
West Gear,2021-07-16,South,Louisiana,New Orleans,Men's Street Footwear,62,306,18972,816,Outlet,4.3
Sports Direct,2021-09-14,South,Alabama,Birmingham,Women's Street Footwear,51,268,13668,820,Online,6.0
West Gear,2021-05-08,Northeast,New York,Albany,Men's Street Footwear,50,261,13050,783,Online,6.0
Foot Locker,2020-03-09,Northeast,New York,New York,Women's Apparel,64,305,19520,761,Online,3.9
Foot Locker,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,53,267,14151,594,Online,4.2
Foot Locker,2020-01-03,Northeast,New York,New York,Women's Street Footwear,32,350,11200,414,Outlet,3.7
Walmart,2020-08-30,South,Texas,Houston,Men's Street Footwear,27,305,8235,305,Outlet,3.7
Foot Locker,2020-01-24,Northeast,New York,New York,Women's Apparel,36,350,12600,365,Outlet,2.9
Walmart,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,33,305,10065,382,Outlet,3.8
Foot Locker,2021-03-05,Southeast,South Carolina,Charleston,Men's Street Footwear,33,265,8745,507,Online,5.8
Foot Locker,2021-08-08,West,Idaho,Boise,Women's Street Footwear,39,305,11895,511,Outlet,4.3
Walmart,2020-08-20,South,Texas,Houston,Women's Street Footwear,27,264,7128,285,Outlet,4.0
Walmart,2020-09-05,South,Texas,Houston,Men's Street Footwear,33,264,8712,366,Outlet,4.2
West Gear,2020-09-17,Southeast,Florida,Miami,Men's Street Footwear,60,304,18240,1040,Online,5.7
West Gear,2020-11-01,South,Texas,Houston,Men's Street Footwear,30,264,7920,309,Outlet,3.9
Walmart,2020-08-29,South,Texas,Houston,Women's Apparel,36,302,10872,565,Outlet,5.2
West Gear,2021-01-14,West,California,San Francisco,Women's Street Footwear,46,264,12144,486,Outlet,4.0
Foot Locker,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,47,260,12220,513,Online,4.2
West Gear,2021-01-18,West,California,San Francisco,Men's Street Footwear,45,302,13590,544,Outlet,4.0
Sports Direct,2021-04-01,South,Tennessee,Knoxville,Men's Apparel,30,300,9000,3150,Outlet,35.0
Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,46,260,11960,443,Online,3.7
West Gear,2021-01-17,West,California,San Francisco,Women's Apparel,56,264,14784,281,Outlet,1.9
Foot Locker,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,48,259,12432,535,Online,4.3
Sports Direct,2021-09-28,South,Alabama,Birmingham,Men's Apparel,30,300,9000,4050,Outlet,45.0
Foot Locker,2021-05-19,Midwest,Missouri,St. Louis,Women's Street Footwear,30,300,9000,3150,In-store,35.0
Foot Locker,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,50,259,12950,518,Online,4.0
Walmart,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,43,350,15050,497,Outlet,3.3
West Gear,2021-01-29,West,California,San Francisco,Women's Apparel,51,264,13464,202,Outlet,1.5
Foot Locker,2021-09-19,Midwest,Missouri,St. Louis,Women's Street Footwear,15,300,4500,1575,In-store,35.0
Walmart,2020-04-24,Northeast,New York,New York,Women's Apparel,45,350,15750,473,Outlet,3.0
West Gear,2021-02-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20,300,6000,2400,In-store,40.0
Kohl's,2021-03-19,West,California,Los Angeles,Men's Street Footwear,24,264,6336,279,Outlet,4.4
Walmart,2020-08-23,South,Texas,Houston,Women's Apparel,38,350,13300,758,Outlet,5.7
Kohl's,2021-04-24,West,California,Los Angeles,Women's Apparel,48,264,12672,279,Outlet,2.2
Foot Locker,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,26,349,9074,426,Outlet,4.69
Walmart,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,38,259,9842,453,Online,4.6
Kohl's,2021-05-02,West,California,Los Angeles,Men's Athletic Footwear,41,264,10824,336,Outlet,3.1
Foot Locker,2020-03-09,Northeast,New York,New York,Women's Apparel,46,347,15962,511,Outlet,3.2
Kohl's,2021-05-08,West,California,Los Angeles,Men's Athletic Footwear,39,264,10296,278,Outlet,2.7
West Gear,2021-11-11,West,Utah,Salt Lake City,Women's Street Footwear,20,345,6900,2415,In-store,35.0
West Gear,2021-01-06,West,California,San Francisco,Men's Street Footwear,41,341,13981,601,Outlet,4.3
Kohl's,2021-05-14,West,California,Los Angeles,Men's Athletic Footwear,43,264,11352,341,Outlet,3.0
Foot Locker,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,41,340,13940,474,Outlet,3.4
Kohl's,2021-05-20,West,California,Los Angeles,Men's Athletic Footwear,42,264,11088,333,Outlet,3.0
Walmart,2020-07-18,Northeast,New York,New York,Women's Apparel,48,340,16320,490,Outlet,3.0
Sports Direct,2021-09-09,South,Texas,Dallas,Women's Apparel,34,264,8976,467,Outlet,5.2
Walmart,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,41,259,10619,478,Online,4.5
West Gear,2021-01-12,West,California,San Francisco,Men's Street Footwear,41,338,13858,527,Outlet,3.8
Sports Direct,2021-09-17,South,Texas,Dallas,Men's Athletic Footwear,34,264,8976,377,Outlet,4.2
West Gear,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,66,259,17094,513,Online,3.0
Foot Locker,2020-01-01,Northeast,New York,New York,Men's Street Footwear,47,336,15792,963,Online,6.1
Sports Direct,2021-04-16,South,Tennessee,Knoxville,Men's Athletic Footwear,30,264,7920,396,Outlet,5.0
Foot Locker,2020-02-05,Northeast,New York,New York,Women's Apparel,39,333,12987,351,Outlet,2.7
West Gear,2020-09-10,Southeast,Florida,Miami,Women's Apparel,63,259,16317,1061,Online,6.5
Walmart,2020-04-29,Northeast,New York,New York,Women's Street Footwear,52,258,13416,644,Online,4.8
Sports Direct,2021-05-16,South,Tennessee,Knoxville,Men's Athletic Footwear,37,264,9768,479,Outlet,4.9
Walmart,2020-05-05,Northeast,New York,New York,Women's Street Footwear,42,333,13986,559,Outlet,4.0
Sports Direct,2021-09-07,South,Alabama,Birmingham,Men's Athletic Footwear,37,264,9768,537,Outlet,5.5
Walmart,2020-10-26,South,Texas,Houston,Men's Street Footwear,32,333,10656,426,Outlet,4.0
West Gear,2021-07-06,West,Idaho,Boise,Men's Street Footwear,35,264,9240,425,Outlet,4.6
Walmart,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,34,333,11322,476,Outlet,4.2
Foot Locker,2021-07-06,West,Idaho,Boise,Women's Apparel,51,264,13464,794,Outlet,5.9
West Gear,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,46,332,15272,321,Outlet,2.1
Foot Locker,2021-01-09,Southeast,Georgia,Atlanta,Women's Street Footwear,24,264,6336,203,Outlet,3.2
Sports Direct,2021-09-24,South,Texas,Dallas,Women's Street Footwear,35,332,11620,546,Outlet,4.7
Walmart,2020-05-02,Northeast,New York,New York,Women's Apparel,66,263,17358,642,Online,3.7
West Gear,2021-10-11,West,Utah,Salt Lake City,Women's Street Footwear,20,300,6000,2100,In-store,35.0
Foot Locker,2020-01-06,Northeast,New York,New York,Women's Apparel,38,330,12540,401,Outlet,3.2
Amazon,2021-01-22,Midwest,Ohio,Columbus,Women's Street Footwear,30,300,9000,3600,Online,40.0
Foot Locker,2021-04-17,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online,40.0
West Gear,2021-02-05,West,California,San Francisco,Men's Street Footwear,52,263,13676,602,Online,4.4
Sports Direct,2021-01-23,South,Mississippi,Jackson,Women's Athletic Footwear,20,300,6000,2400,Online,40.0
Walmart,2020-04-26,Northeast,New York,New York,Women's Apparel,50,330,16500,462,Outlet,2.8
Sports Direct,2021-09-15,South,Texas,Dallas,Women's Apparel,53,263,13939,878,Online,6.3
Foot Locker,2021-08-06,Southeast,South Carolina,Charleston,Men's Street Footwear,62,326,20212,1152,Online,5.7
Sports Direct,2021-04-17,South,Tennessee,Knoxville,Women's Street Footwear,36,263,9468,568,Online,6.0
Foot Locker,2021-08-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store,40.0
West Gear,2021-06-10,Northeast,New York,Albany,Men's Street Footwear,59,263,15517,869,Online,5.6
Foot Locker,2021-11-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25,325,8125,3250,In-store,40.0
Sports Direct,2021-08-16,Midwest,Michigan,Detroit,Men's Street Footwear,55,263,14465,926,Online,6.4
Walmart,2021-04-20,South,Arkansas,Little Rock,Men's Athletic Footwear,25,300,7500,2625,Online,35.0
West Gear,2021-01-11,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20,325,6500,2600,In-store,40.0
